epoch_num,clean_acc,adv_acc,loss
1,11.56,10.38,2.3010919094085693
2,19.16,17.14,2.2274703979492188
3,27.15,22.16,2.2026116847991943
4,33.7,26.67,2.0959980487823486
5,38.21,29.92,1.9732160568237305
6,41.14,31.95,1.9484654664993286
7,43.55,30.94,1.9447132349014282
8,47.2,34.76,1.8235299587249756
9,49.6,36.09,1.8843915462493896
10,49.62,35.72,1.8331629037857056
11,51.93,37.66,1.8818379640579224
12,52.96,38.99,1.6712942123413086
13,56.74,40.36,1.7959012985229492
14,58.47,41.19,1.7081115245819092
15,57.7,42.33,1.6623448133468628
16,61.77,43.17,1.6378822326660156
17,59.2,43.45,1.610713005065918
18,63.3,44.2,1.6727665662765503
19,65.29,46.66,1.460058331489563
20,63.79,45.31,1.6461801528930664
21,64.92,46.82,1.4571698904037476
22,65.87,47.2,1.4804635047912598
23,65.43,46.58,1.552661657333374
24,69.86,47.41,1.7222602367401123
25,67.66,47.53,1.5761504173278809
26,69.05,48.0,1.4414194822311401
27,69.2,48.53,1.4983242750167847
28,71.07,49.64,1.4616764783859253
29,69.15,48.49,1.387482762336731
30,68.53,48.3,1.4526612758636475
31,70.42,48.86,1.50076425075531
32,69.9,49.3,1.4386014938354492
33,72.02,49.91,1.4469927549362183
34,70.88,50.84,1.4621672630310059
35,69.65,49.96,1.3995225429534912
36,72.52,51.23,1.3803908824920654
37,73.2,51.22,1.4566171169281006
38,72.05,50.06,1.3663452863693237
39,72.31,51.09,1.4123507738113403
40,71.95,49.93,1.286726713180542
41,72.61,50.02,1.4400136470794678
42,73.14,51.89,1.4000625610351562
43,72.87,51.19,1.3322415351867676
44,71.95,50.66,1.326442003250122
45,73.31,50.03,1.4343959093093872
46,72.05,51.19,1.4229592084884644
47,73.13,51.96,1.3774269819259644
48,73.73,52.26,1.314159870147705
49,72.28,50.67,1.3266481161117554
50,74.29,53.46,1.3233036994934082
51,73.73,51.41,1.3471345901489258
52,73.54,50.23,1.370442509651184
53,72.63,49.21,1.3796602487564087
54,74.95,51.32,1.4128824472427368
55,74.2,52.46,1.3546983003616333
56,74.46,51.17,1.318427562713623
57,74.48,51.88,1.3089256286621094
58,75.01,51.24,1.3779116868972778
59,74.73,52.5,1.2549269199371338
60,76.46,52.08,1.3748502731323242
61,79.78,57.28,1.0556601285934448
62,80.54,57.1,1.1172354221343994
63,80.04,56.65,1.0085796117782593
64,80.0,56.23,1.0332683324813843
65,80.42,56.36,1.0284651517868042
66,80.25,56.53,1.0662455558776855
67,80.76,55.8,1.0228768587112427
68,80.74,56.06,0.9743044972419739
69,80.91,56.62,0.9831206798553467
70,81.08,55.79,0.981194019317627
71,80.87,55.77,0.9482977986335754
72,81.0,55.09,0.9860879182815552
73,80.61,55.56,1.0478261709213257
74,79.56,54.76,0.9925864934921265
75,80.57,55.31,0.952713668346405
76,78.92,54.89,0.9276728630065918
77,80.4,54.62,0.9590960741043091
78,81.02,54.59,0.9228413701057434
79,80.17,53.76,0.9091747999191284
80,80.88,54.66,0.908301055431366
81,80.98,54.27,0.9171386957168579
82,80.1,54.5,0.965499758720398
83,80.56,54.35,0.8942050933837891
84,80.58,54.02,0.8890296220779419
85,80.84,54.54,0.8897238373756409
86,79.96,54.67,0.8799785375595093
87,79.83,53.43,0.9078249931335449
88,80.11,53.58,0.9256337285041809
89,81.14,53.83,0.9871283173561096
90,81.02,53.41,0.9057323932647705
91,80.54,53.47,0.8037655353546143
92,80.39,54.01,0.936616063117981
93,81.16,53.33,0.9162379503250122
94,80.31,52.33,0.847974419593811
95,80.38,53.61,0.8440329432487488
96,79.66,53.17,0.8579753041267395
97,80.56,53.15,0.8200510740280151
98,80.68,53.04,0.8566377758979797
99,80.05,52.39,0.8536581993103027
100,80.59,52.88,0.8112921118736267
