epoch_num,clean_acc,adv_acc,loss
1,16.978,16.43,2.0053763389587402
2,26.59,19.19,1.9240517616271973
3,32.614,21.44,1.8695588111877441
4,35.828,20.64,1.7461048364639282
5,38.668,22.76,1.558025598526001
6,42.006,20.11,1.4865044355392456
7,45.502,21.1,1.4246610403060913
8,48.394,19.83,1.3011753559112549
9,51.216,25.89,1.3217120170593262
10,53.978,23.52,1.2293428182601929
11,56.416,25.74,1.2451601028442383
12,59.138,28.46,1.0395290851593018
13,61.444,27.02,1.0960767269134521
14,63.002,29.11,0.9778490662574768
15,64.342,27.42,0.946556806564331
16,65.84,28.41,0.8346576690673828
17,66.994,23.34,0.8700606226921082
18,67.902,27.01,0.9151287078857422
19,68.838,26.39,0.7763035893440247
20,69.886,30.83,0.8657355308532715
21,70.29,30.28,0.7325467467308044
22,71.004,31.18,0.7021710276603699
23,71.522,32.18,0.7689779996871948
24,72.268,30.89,0.8849219083786011
25,72.72,31.29,0.8085233569145203
26,73.244,30.96,0.7097262144088745
27,73.54,30.09,0.6942530870437622
28,74.136,28.9,0.704598069190979
29,74.344,30.04,0.6878294944763184
30,74.698,31.69,0.7577475309371948
31,75.102,32.59,0.6898065805435181
32,75.804,29.28,0.5642976760864258
33,75.944,30.13,0.6980496644973755
34,75.796,33.11,0.6096724271774292
35,76.542,30.37,0.6508080959320068
36,76.54,32.47,0.7096422910690308
37,76.926,32.57,0.6908124685287476
38,76.938,30.03,0.6027870178222656
39,77.3,30.09,0.6258643269538879
40,77.336,32.67,0.5361455082893372
41,77.64,32.33,0.6465378999710083
42,78.028,32.78,0.6504002809524536
43,78.298,33.59,0.5616961717605591
44,78.35,31.68,0.5168411731719971
45,78.366,31.18,0.6840161085128784
46,78.666,31.72,0.6361640095710754
47,78.706,32.06,0.6302851438522339
48,78.806,32.01,0.5888842344284058
49,79.188,30.39,0.5005106925964355
50,78.856,32.41,0.5362139344215393
51,79.192,35.87,0.6184226870536804
52,79.402,32.72,0.5860595107078552
53,79.59,31.06,0.5493115782737732
54,79.334,32.2,0.5435868501663208
55,79.774,32.13,0.5991185903549194
56,79.942,30.53,0.5386052131652832
57,79.994,32.72,0.5341889262199402
58,80.388,32.68,0.5716832280158997
59,80.494,33.23,0.5405089855194092
60,80.192,31.55,0.5153228640556335
61,87.292,37.81,0.2482571303844452
62,89.956,39.16,0.2789209187030792
63,91.014,39.08,0.22705408930778503
64,91.476,37.79,0.20741049945354462
65,92.242,38.76,0.23154309391975403
66,92.794,38.34,0.1990358978509903
67,92.888,37.11,0.2283300906419754
68,93.18,38.05,0.19131647050380707
69,93.384,38.98,0.14009231328964233
70,93.422,37.81,0.17046460509300232
71,93.804,37.28,0.18323132395744324
72,93.744,37.44,0.19666467607021332
73,93.802,37.72,0.17099729180335999
74,93.874,37.49,0.20146049559116364
75,93.72,37.36,0.22951534390449524
76,94.16,37.44,0.1861771047115326
77,94.348,36.26,0.17893148958683014
78,94.06,37.17,0.12757980823516846
79,94.166,36.26,0.227378249168396
80,93.922,36.64,0.13425874710083008
81,94.228,37.96,0.20182783901691437
82,94.268,38.79,0.17661121487617493
83,94.328,37.61,0.12572462856769562
84,94.052,36.29,0.16309726238250732
85,94.318,37.73,0.1268933117389679
86,93.986,35.77,0.17007708549499512
87,94.174,36.23,0.14738847315311432
88,94.182,36.85,0.18685875833034515
89,94.166,35.85,0.20427721738815308
90,94.264,34.54,0.16398203372955322
91,94.44,36.46,0.15911830961704254
92,94.358,37.11,0.19624653458595276
93,94.226,35.48,0.20111653208732605
94,94.562,36.17,0.15165305137634277
95,94.322,36.91,0.17782123386859894
96,94.544,36.33,0.12393078207969666
97,94.326,35.77,0.16037270426750183
98,94.726,36.96,0.17412249743938446
99,94.756,35.53,0.209208145737648
100,94.446,35.36,0.17661979794502258
