epoch_num,clean_acc,adv_acc,loss
1,34.42,15.1,1.8962182998657227
2,39.17,16.28,1.7666231393814087
3,45.67,17.65,1.70407235622406
4,48.74,15.04,1.5767793655395508
5,50.24,16.42,1.3989046812057495
6,61.67,15.56,1.3053419589996338
7,53.38,13.27,1.204221248626709
8,59.07,13.16,1.0288423299789429
9,71.08,15.58,1.0420715808868408
10,68.91,16.84,0.9489147663116455
11,72.12,11.76,1.0084731578826904
12,77.79,17.09,0.7765448689460754
13,78.27,15.65,0.8905108571052551
14,80.09,17.78,0.751352071762085
15,82.03,17.35,0.7616816759109497
16,80.69,18.29,0.6549139022827148
17,82.05,18.16,0.6510992050170898
18,81.99,15.64,0.7170166969299316
19,81.75,13.6,0.6471772193908691
20,82.96,20.33,0.6187831163406372
21,84.71,19.24,0.5270885825157166
22,81.59,14.85,0.5455147624015808
23,85.51,17.89,0.59904944896698
24,85.07,19.52,0.6192949414253235
25,84.04,18.33,0.6167738437652588
26,85.33,18.21,0.553521454334259
27,86.13,15.62,0.5735533833503723
28,83.21,12.61,0.4865211844444275
29,84.18,17.45,0.5530889630317688
30,83.66,16.6,0.624566912651062
31,86.05,17.57,0.5365544557571411
32,85.53,15.97,0.4046871066093445
33,86.84,17.71,0.5042082071304321
34,87.67,15.95,0.4779777526855469
35,87.75,17.33,0.45174071192741394
36,87.35,20.19,0.546184241771698
37,86.02,19.13,0.4908381998538971
38,87.66,17.62,0.44895440340042114
39,87.14,20.47,0.45920875668525696
40,87.84,18.66,0.3541751801967621
41,86.97,20.64,0.4904772937297821
42,87.69,17.81,0.4269964098930359
43,88.25,17.93,0.35522693395614624
44,88.97,15.98,0.3964555859565735
45,87.69,18.27,0.48000776767730713
46,86.78,17.43,0.48970142006874084
47,87.48,17.81,0.44341719150543213
48,87.58,19.66,0.4508528411388397
49,89.18,19.63,0.3417138457298279
50,88.99,19.75,0.37327995896339417
51,87.06,19.46,0.4204808175563812
52,87.25,19.63,0.4170565903186798
53,86.41,17.99,0.4392307698726654
54,88.08,17.23,0.3972786068916321
55,88.17,20.11,0.4809317886829376
56,87.12,16.63,0.38418492674827576
57,88.07,18.56,0.4196631908416748
58,88.45,18.84,0.42904096841812134
59,86.94,16.33,0.3926973342895508
60,88.95,18.61,0.38894280791282654
61,92.62,23.87,0.13946273922920227
62,92.46,26.6,0.15628330409526825
63,92.7,26.68,0.11833041906356812
64,92.29,26.93,0.10621149092912674
65,92.69,27.22,0.1105957180261612
66,92.49,28.72,0.08468057960271835
67,92.12,27.31,0.08884517848491669
68,92.24,27.86,0.10673137754201889
69,92.43,27.72,0.08905661851167679
70,92.17,27.68,0.09070002287626266
71,91.85,28.06,0.09990132600069046
72,92.47,28.78,0.08443477749824524
73,92.13,27.88,0.10938282310962677
74,92.01,28.49,0.09325660020112991
75,92.02,28.77,0.10190416872501373
76,91.89,26.92,0.06817123293876648
77,91.76,26.28,0.07363945245742798
78,91.19,26.66,0.08846618980169296
79,91.98,26.08,0.09074869006872177
80,91.68,25.76,0.056088440120220184
81,91.74,27.44,0.09897154569625854
82,91.48,26.33,0.1051562950015068
83,91.79,26.3,0.07567896693944931
84,91.14,25.54,0.09351484477519989
85,91.63,25.1,0.11771745979785919
86,91.35,26.35,0.08201548457145691
87,91.45,27.38,0.11751768738031387
88,91.46,25.8,0.13763023912906647
89,91.28,25.31,0.17615744471549988
90,91.59,24.81,0.08589225262403488
91,91.46,26.59,0.08470164984464645
92,91.71,26.41,0.1387113779783249
93,91.21,24.66,0.10266146063804626
94,91.69,26.29,0.1142331212759018
95,91.04,23.78,0.09683816879987717
96,91.14,24.64,0.08597735315561295
97,91.06,25.0,0.08371026813983917
98,91.52,24.06,0.1316864937543869
99,91.19,26.04,0.13575363159179688
100,91.66,25.44,0.11954342573881149
