epoch_num,clean_acc,adv_acc,loss
1,23.34,16.01,2.1405751705169678
2,31.18,20.36,2.0481972694396973
3,39.53,24.65,2.0283305644989014
4,38.99,24.16,1.9419441223144531
5,45.92,27.66,1.7904763221740723
6,47.32,27.9,1.7548692226409912
7,50.93,29.62,1.6646502017974854
8,54.74,32.3,1.548045039176941
9,58.49,33.28,1.5671521425247192
10,56.38,31.1,1.4666599035263062
11,62.04,35.16,1.5486093759536743
12,65.95,37.32,1.3527657985687256
13,67.66,37.12,1.4574389457702637
14,68.46,38.42,1.3023877143859863
15,71.32,39.71,1.2578846216201782
16,71.82,38.78,1.1837372779846191
17,70.39,37.09,1.1539182662963867
18,74.56,37.47,1.2433019876480103
19,75.67,41.22,1.0293591022491455
20,77.05,40.89,1.198061466217041
21,77.19,42.45,1.0419187545776367
22,76.39,42.29,1.0191956758499146
23,77.86,43.17,1.1099649667739868
24,78.92,42.51,1.2048121690750122
25,77.78,41.94,1.1099169254302979
26,79.59,42.5,1.0018470287322998
27,79.68,43.17,1.0461827516555786
28,76.82,40.87,1.024564504623413
29,78.86,43.65,0.9659602642059326
30,78.9,42.18,1.014410376548767
31,81.51,44.47,1.0151615142822266
32,80.34,43.53,0.8823741674423218
33,80.89,41.97,1.0409047603607178
34,81.9,43.71,0.9637550115585327
35,80.89,44.15,0.999300479888916
36,81.14,44.45,0.9676128625869751
37,79.83,42.88,0.9693425297737122
38,82.49,42.69,0.8852137327194214
39,81.54,43.85,0.9470776915550232
40,83.24,46.31,0.8103846311569214
41,82.28,43.78,0.9521294832229614
42,82.08,43.31,0.9326955080032349
43,82.42,44.2,0.8844105005264282
44,82.22,44.06,0.8298889994621277
45,81.45,44.3,0.9525358080863953
46,83.55,44.8,0.9305856823921204
47,83.17,44.35,0.9553234577178955
48,83.66,46.65,0.8683786988258362
49,83.82,43.41,0.7912182807922363
50,83.67,46.67,0.8660902380943298
51,83.44,46.21,0.8659442067146301
52,82.39,44.46,0.9104165434837341
53,82.79,41.87,0.8830496668815613
54,83.53,42.75,0.8878448009490967
55,85.09,45.76,0.9075568318367004
56,82.41,45.63,0.8231355547904968
57,84.18,45.16,0.8398229479789734
58,84.19,44.53,0.920264482498169
59,83.52,46.52,0.7810320258140564
60,84.42,46.76,0.8442935943603516
61,88.65,50.97,0.5195168256759644
62,88.6,49.96,0.571865975856781
63,88.59,50.93,0.47417664527893066
64,88.5,50.32,0.4578422009944916
65,88.74,50.04,0.46359914541244507
66,88.55,50.18,0.4580678939819336
67,87.82,49.81,0.4838767647743225
68,88.55,49.23,0.40781912207603455
69,88.2,49.18,0.389694482088089
70,88.17,49.42,0.4323368966579437
71,87.78,48.22,0.4327083230018616
72,88.32,49.07,0.488749235868454
73,88.45,48.31,0.4199053943157196
74,87.62,48.66,0.4292032718658447
75,87.71,47.49,0.4751400351524353
76,87.6,48.12,0.41439783573150635
77,87.52,47.17,0.4247693121433258
78,87.13,46.89,0.3831140398979187
79,87.34,46.2,0.4058510959148407
80,87.47,47.62,0.33879199624061584
81,87.54,47.12,0.40434595942497253
82,87.54,47.54,0.4070468544960022
83,87.37,46.75,0.34392619132995605
84,86.86,46.69,0.3648075759410858
85,87.17,47.38,0.35691896080970764
86,87.49,46.14,0.35292598605155945
87,86.89,46.29,0.39058181643486023
88,86.77,46.05,0.38968634605407715
89,87.67,47.21,0.44474080204963684
90,86.61,45.38,0.3655031621456146
91,87.47,46.53,0.323111891746521
92,87.65,46.22,0.3842361867427826
93,87.29,45.71,0.3805640637874603
94,87.03,45.87,0.33839482069015503
95,87.27,45.81,0.37844118475914
96,87.31,45.38,0.34592485427856445
97,87.13,45.45,0.3481367826461792
98,86.88,46.26,0.3645579516887665
99,86.75,45.3,0.3567984104156494
100,87.26,46.24,0.30100542306900024
